* matching mz value will be serached for with a tolerance of 0.001,,
RH (%),mz 33.034,mz 47.048
0,-130,-130
1,-130,-130
2,-130,-130
3,-130,-130
4,-130,-130
5,-130,-130
6,-130,-130
7,-130,-130
8,-130,-130
9,-130,-130
10,-130,-130
11,-130,-130
12,-130,-130
13,-130,-130
14,-130,-130
15,-130,-130
16,-130,-130
17,-130,-130
18,-130,-130
19,-130,-130
20,-130,-130
21,-130,-130
22,-130,-130
23,-130,-130
24,-130,-130
25,-130,-130
26,-130,-130
27,-130,-130
28,-130,-130
29,-130,-130
30,-130,-130
31,-130,-130
32,-130,-130
33,-130,-130
34,-130,-130
35,-130,-130
36,-130,-130
37,-130,-130
38,-130,-130
39,-130,-130
40,-130,-130
41,-130,-130
42,-130,-130
43,-130,-130
44,-130,-130
45,-130,-130
46,-130,-130
47,-130,-130
48,-130,-130
49,-130,-130
50,-130,-130
51,-130,-130
52,-130,-130
53,-130,-130
54,-130,-130
55,-130,-130
56,-130,-130
57,-130,-130
58,-130,-130
59,-130,-130
60,-130,-130
61,-130,-130
62,-130,-130
63,-130,-130
64,-130,-130
65,-130,-130
66,-130,-130
67,-130,-130
68,-130,-130
69,-130,-130
70,-130,-130
71,-131,-131
72,-131,-131
73,-131,-131
74,-131,-131
75,-131,-131
76,-131,-131
77,-131,-131
78,-131,-131
79,-131,-131
80,-131,-131
81,-131,-131
82,-131,-131
83,-132,-132
84,-132,-132
85,-132,-132
86,-133,-133
87,-133,-133
88,-134,-134
89,-135,-135
90,-137,-137
91,-138,-138
92,-140,-140
93,-143,-143
94,-147,-147
95,-152,-152
96,-158,-158
97,-165,-165
98,-175,-175
99,-188,-188
100,-204,-204
